Fecha,SP500_close,entry_type,Rotura High Prematura,Rotura Low Prematura,target_profit_outside_range,profit_points_outside_range,target_profit_mfe_time,stop_out_outside_range,lost_outside_range,stop_out_time,mfe_time,rango_apertura,subrango_apertura,MFE_desde_entrada,MAE_desde_entrada
2021-04-28,4695.5,Short,2021-04-28 20:40:00+02:00,2021-04-28 17:50:00+02:00,True,1.0,2021-04-28 20:05:00+02:00,True,10.25,2021-04-28 20:40:00+02:00,2021-04-28 20:05:00+02:00,11.5,8.75,5.25,15.75
2021-04-29,4710.75,Short,,2021-04-29 16:35:00+02:00,True,19.75,2021-04-29 18:10:00+02:00,False,22.75,,2021-04-29 18:10:00+02:00,20.75,15.5,20.25,20.75
2021-04-30,4691.25,Short,,2021-04-30 16:40:00+02:00,True,8.75,2021-04-30 21:50:00+02:00,False,9.75,,2021-04-30 21:50:00+02:00,11.5,8.5,12.25,8.5
2021-05-03,4694.25,Short,,2021-05-03 17:05:00+02:00,True,7.25,2021-05-03 22:00:00+02:00,False,13.75,,2021-05-03 22:00:00+02:00,12.5,9.0,7.75,8.0
2021-05-04,4669.0,Short,,2021-05-04 17:00:00+02:00,True,11.25,2021-05-04 18:00:00+02:00,False,33.75,,2021-05-04 18:00:00+02:00,35.0,27.0,16.0,26.0
2021-05-05,4669.0,Long,2021-05-05 17:55:00+02:00,,True,0.5,2021-05-05 18:05:00+02:00,False,25.0,,2021-05-05 18:05:00+02:00,25.75,21.75,2.0,22.75
2021-05-06,4707.0,Long,2021-05-06 17:35:00+02:00,,True,29.75,2021-05-06 23:00:00+02:00,False,29.75,,2021-05-06 23:00:00+02:00,26.5,24.0,27.0,10.25
2021-05-07,4737.5,Long,2021-05-07 17:15:00+02:00,,True,1.25,2021-05-07 17:45:00+02:00,False,34.25,,2021-05-07 17:45:00+02:00,35.25,29.25,2.5,13.75
2021-05-10,4686.5,Short,2021-05-10 18:25:00+02:00,2021-05-10 16:35:00+02:00,True,46.5,2021-05-10 22:55:00+02:00,False,13.0,,2021-05-10 22:55:00+02:00,10.5,8.0,46.0,12.25
2021-05-11,4650.75,Short,,2021-05-11 16:35:00+02:00,True,9.75,2021-05-11 16:50:00+02:00,False,38.25,,2021-05-11 16:50:00+02:00,34.75,30.25,14.25,35.75
2021-05-12,4562.75,Short,,2021-05-12 16:35:00+02:00,True,54.25,2021-05-12 21:55:00+02:00,False,27.0,,2021-05-12 21:55:00+02:00,22.75,16.25,51.0,8.25
2021-05-13,4621.5,Long,2021-05-13 16:55:00+02:00,,True,8.5,2021-05-13 21:45:00+02:00,False,48.0,,2021-05-13 21:45:00+02:00,46.5,43.25,7.5,37.75
2021-05-14,4684.0,Long,2021-05-14 16:35:00+02:00,,True,22.25,2021-05-14 21:00:00+02:00,False,20.5,,2021-05-14 21:00:00+02:00,23.0,17.25,25.5,9.0
2021-05-17,4671.25,Short,,2021-05-17 16:35:00+02:00,True,4.0,2021-05-17 19:45:00+02:00,False,24.0,,2021-05-17 19:45:00+02:00,22.75,18.25,6.5,19.5
2021-05-18,4625.5,Short,,2021-05-18 20:25:00+02:00,True,34.25,2021-05-18 22:40:00+02:00,False,16.0,,2021-05-18 22:40:00+02:00,16.0,12.5,36.0,4.75
2021-05-19,4618.5,Long,2021-05-19 17:10:00+02:00,,True,32.25,2021-05-19 22:05:00+02:00,False,24.25,,2021-05-19 22:05:00+02:00,23.5,18.25,34.0,12.0
2021-05-20,4662.75,Long,2021-05-20 16:35:00+02:00,,True,29.5,2021-05-20 21:30:00+02:00,False,20.5,,2021-05-20 21:30:00+02:00,20.25,18.5,29.5,3.5
2021-05-21,4668.5,Short,,2021-05-21 16:40:00+02:00,True,20.5,2021-05-21 19:00:00+02:00,False,15.5,,2021-05-21 19:00:00+02:00,14.75,14.5,22.5,6.75
2021-05-24,4710.0,Long,2021-05-24 16:35:00+02:00,,True,10.0,2021-05-24 20:50:00+02:00,False,21.75,,2021-05-24 20:50:00+02:00,22.5,17.5,11.0,3.25
2021-05-25,4699.25,Short,,2021-05-25 16:35:00+02:00,True,13.75,2021-05-25 21:55:00+02:00,False,17.0,,2021-05-25 21:55:00+02:00,15.0,11.0,13.75,6.0
2021-05-26,4704.5,Long,2021-05-26 17:05:00+02:00,,True,3.25,2021-05-26 19:10:00+02:00,False,13.5,,2021-05-26 19:10:00+02:00,14.25,11.0,5.0,6.75
